部門コード,パターンNO,パターン名称,登録日,登録時刻,登録社員コード,更新日,更新時刻,更新社員コード
"02","16","クレハ　苛性","20180808","143811","000002","20180808","143811","000002"
"02","18","クレハ　塩酸","20180808","143914","000002","20180808","143914","000002"
"02","22","日新　液バン1","20180808","150415","000002","20180808","150415","000002"
"02","95","クレハ　旭硝子鹿島　空車引き取り","20230411","151755","000002","20230411","151755","000002"
"02","96","クレハ　旭硝子鹿島　引取り","20230411","151855","000002","20230411","151855","000002"
"02","99","丸運(TOYO TIRE)10KL","20230512","110001","000001","20230512","110001","000001"
"02","100","丸運（福島ｺﾞﾑ）10KL","20230512","110203","000001","20230512","110203","000001"
"02","86","朝日化学　いわき大王","20200331","150020","000002","20200331","150020","000002"
"02","75","クレハ　苛性　基地引取り","20190509","134618","000002","20190509","134618","000002"
"02","102","日新　越谷→メルク　日・祝日","20230623","144102","000002","20230623","144102","000002"
"02","103","日新特別　酒田　通常","20230623","150659","000002","20230623","150659","000002"
"02","101","日新　越谷→メルク","20230623","143953","000002","20230623","143953","000002"
"02","105","日新特別　能代　通常","20230623","150834","000002","20230623","150834","000002"
"02","107","日新特別　酒田冬季(11/15～4・15)","20231118","114359","000002","20231118","114359","000002"
"02","108","日新特別　能代冬季(11/15～4/15)","20231118","114508","000002","20231118","114508","000002"
"02","58","クレハ　苛性　ｶﾒｲ塩釜→八戸","20181201","093443","000002","20181201","093443","000002"
