取引先コード,取引先名称１,取引先名称２,取引先略称,取引先検索名称,郵便番号,住所１,住所２,住所３,電話番号,ＦＡＸ番号,資本金(百万円),担当者,メールアドレス,社内外取引区分,社内外取引区分名称,法人コード,請求担当部門コード,請求担当部門略称,請求締日区分,請求締日区分名称,請求残高印字区分,請求残高印字区分名称,入金入力有無区分,入金入力有無区分名称,請求自社情報コード,請求自社情報名称,請求書定義No,請求書定義略称,回収月,回収日,支払担当部門コード,支払担当部門略称,支払締日区分,支払締日区分名称,支払残高印字区分,支払残高印字区分名称,支払入力有無区分,支払入力有無区分名称,支払自社情報コード,支払自社情報名称,支払通知書定義No,支払通知書定義略称,支払月,支払日,備考１,備考２,備考３,備考４,備考５,使用停止フラグ,登録日,登録時刻,登録社員コード,更新日,更新時刻,更新社員コード
"00138","株式会社十條合成化学研究所","","十條合成化学","ｼﾞｭｳｼﾞｮｳｺﾞｳｾｲｶｶﾞｸ","","","","","","","0","","","1","社外","","07","川崎営業所","6","末日締","1","なし","0","入金入力あり","01","自社","005","請求書A4 1行明細縦","","","07","川崎営業所","6","末日締","1","なし","1","なし","01","自社","001","支払通知書A4 1行明細形式","","","","","","","","0","20180809","154124","000004","20190531","113536","000005"
"00139","関東ロジテム株式会社","","関東ロジテム株式会社","ｶﾝﾄｳﾛｼﾞﾃﾑ","","","","","","","0","","","1","社外","","07","川崎営業所","6","末日締","1","なし","0","入金入力あり","01","自社","005","請求書A4 1行明細縦","","","07","川崎営業所","6","末日締","1","なし","1","なし","01","自社","001","支払通知書A4 1行明細形式","","","","","","","","0","20180809","154315","000004","20190206","155934","000004"
"00140","株式会社ＴＳトランスポート","","株式会社ＴＳトランス","ﾃｲｴｽﾄﾗﾝｽﾎﾟｰﾄ","","","","","","","0","","","1","社外","","07","川崎営業所","6","末日締","1","なし","0","入金入力あり","01","自社","005","請求書A4 1行明細縦","","","07","川崎営業所","6","末日締","1","なし","1","なし","01","自社","001","支払通知書A4 1行明細形式","","","","","","","","0","20180809","154501","000004","20190206","155955","000004"
"00144","信越化学工業株式会社","","信越化学工業株式会社","ｼﾝｴﾂｶｶﾞｸｺｳｷﾞｮｳ","","","","","","","0","","","1","社外","","07","川崎営業所","6","末日締","1","なし","0","入金入力あり","01","自社","001","請求書A4 2行明細標準","","","01","東京営業所","6","末日締","0","残高印字あり","1","なし","01","自社","001","支払通知書A4 1行明細形式","","","","","","","","0","20180809","155745","000004","20180809","155745","000004"
"00107","乙羽運送㈱","","乙羽運送㈱","ｵﾄﾊﾞｳﾝｿｳ","974-8232","福島県いわき市錦町落合80","","","0246-62-6070","0246-62-6070","0","","","1","社外","","02","小名浜営業所","6","末日締","0","残高印字あり","0","入金入力あり","01","自社","001","請求書A4 2行明細標準","0","0","02","小名浜営業所","6","末日締","1","しない","1","なし","01","自社","001","支払通知書A4 1行明細形式","","","","","","","","0","20180718","230156","SYSTEM","20180718","230156","SYSTEM"
"00124","株式会社日新","","株式会社日新","ﾆｯｼﾝ","","","","","","","0","","","1","社外","","01","東京営業所","6","末日締","1","なし","0","入金入力あり","01","自社","101","請求書B4 1行明細形式","0","0","01","東京営業所","6","末日締","1","しない","1","なし","01","自社","001","支払通知書A4 1行明細形式","","","","","","","","0","20180718","230156","SYSTEM","20180718","230156","SYSTEM"
"00103","東曹産業㈱仙台工場","","東曹産業仙台工場","ﾄｳｿｳｻﾝｷﾞｮｳ","983-0001","宮城県仙台市宮城野区港4-12-17","業務課兼物流部","","022-259-6090","022-259-6089","0","","","1","社外","","02","小名浜営業所","6","末日締","1","なし","0","入金入力あり","01","自社","001","請求書A4 2行明細標準","0","","02","小名浜営業所","6","末日締","1","なし","1","なし","01","自社","001","支払通知書A4 1行明細形式","","","","","","","","0","20180718","230156","SYSTEM","20180817","104029","000002"
"00126","大郷運輸株式会社","","大郷運輸株式会社","ｵｵｻﾄｳﾝﾕ","985-0011","宮城県塩釜市貞山通三丁目20-1","","","022-361-0323","022-361-0320","0","","","1","社外","","06","仙台営業所","6","末日締","1","なし","0","入金入力あり","01","自社","001","請求書A4 2行明細標準","0","","06","仙台営業所","6","末日締","1","なし","1","なし","01","自社","001","支払通知書A4 1行明細形式","","","","","","","","0","20180718","230156","SYSTEM","20210514","141421","000099"
"00013","乙羽通商㈱","","乙羽通商㈱","ｵﾄﾊﾞﾂｳｼｮｳ","974-8232","いわき市錦町落合69","","","0246-62-6439","0246-62-7213","0","","","1","社外","","02","小名浜営業所","6","末日締","0","残高印字あり","0","入金入力あり","01","自社","001","請求書A4 2行明細標準","0","0","02","小名浜営業所","6","末日締","1","しない","1","なし","01","自社","001","支払通知書A4 1行明細形式","","","","","","","","0","20180718","230156","SYSTEM","20180718","230156","SYSTEM"
"00130","東西オイルターミナル株式会社","小名浜事業所","東西オイルターミ","ﾄｳｻﾞｲｵｲﾙ","971-8183","福島県いわき市泉町下川字大剣1-50","","","0246-56-2824","","0","","","1","社外","","02","小名浜営業所","6","末日締","0","残高印字あり","0","入金入力あり","01","自社","001","請求書A4 2行明細標準","2","0","02","小名浜営業所","6","末日締","1","しない","1","なし","01","自社","001","支払通知書A4 1行明細形式","","","","","","","","0","20180718","230156","SYSTEM","20180718","230156","SYSTEM"
