品名コード,品名名称,品名略称,品名検索名称,品目分類コード,品目分類略称,単位コード,単位略称,単価区分,単価区分名称,単位重量(Kg),使用停止フラグ,登録日,登録時刻,登録社員コード,更新日,更新時刻,更新社員コード
"0012","ﾒﾀﾉｰﾙ","ﾒﾀﾉｰﾙ","ﾒﾀﾉｰﾙ","0001","白油","02","ｔ","0","数量×単価","1","0","20180718","230157","SYSTEM","20180824","133322","000099"
"0005","ハイオク","ハイオク","ﾊｲｵｸ","0001","白油","01","ｋｌ","0","数量×単価","1","0","20180718","230157","SYSTEM","20180824","133225","000099"
"0004","軽油","軽油","ｹｲﾕ","0001","白油","01","ｋｌ","0","数量×単価","1","0","20180718","230157","SYSTEM","20180824","133219","000099"
"0003","灯油","灯油","ﾄｳﾕ","0001","白油","01","ｋｌ","0","数量×単価","1","0","20180718","230157","SYSTEM","20180824","133207","000099"
"0002","レギュラー","レギュラー","ﾚｷﾞｭﾗｰ","0001","白油","01","ｋｌ","0","数量×単価","1","0","20180718","230157","SYSTEM","20180824","133212","000099"
"0001","白油","白油","ｼﾛﾕ","0001","白油","01","ｋｌ","0","数量×単価","1","0","20180718","230157","SYSTEM","20180824","133152","000099"
"0011","LSA重油","LSA重油","ﾛｰｻﾙｼﾞｭｳﾕ","0002","黒油","01","ｋｌ","0","数量×単価","1","0","20180718","230157","SYSTEM","20180824","133312","000099"
"0010","プロセス","プロセス","ﾌﾟﾛｾｽ","0002","黒油","01","ｋｌ","0","数量×単価","1000","0","20180718","230157","SYSTEM","20181015","100622","000001"
"0009","C重油","C重油","ｼｰｼﾞｭｳﾕ","0002","黒油","01","ｋｌ","0","数量×単価","1","0","20180718","230157","SYSTEM","20180824","133251","000099"
"0006","黒油","黒油","ｸﾛﾕ","0002","黒油","01","ｋｌ","0","数量×単価","1000","0","20180718","230157","SYSTEM","20181015","100712","000001"
"0035","Ａ重油","Ａ重油","ｴｰｼﾞｭｳﾕ","0002","黒油","01","ｋｌ","0","数量×単価","1","0","20180718","230157","SYSTEM","20180723","102213","000002"
"0074","珪酸","珪酸","ｹｲｻﾝ","0003","化成品","06","車","0","数量×単価","1000","0","20180809","140246","000002","20190611","092953","000002"
"0056","ｱｯｼｭｸﾘｰﾝ","ｱｯｼｭｸﾘｰﾝ","ｱｯｼｭｸﾘｰﾝ","0003","化成品","02","ｔ","0","数量×単価","1000","0","20180718","230157","SYSTEM","20180824","133730","000099"
"0053","ハイポ","ハイポ","ﾊｲﾎﾟ","0003","化成品","02","ｔ","0","数量×単価","1000","0","20180718","230157","SYSTEM","20181005","143002","000003"
"0051","ソーダ","ソーダ","ｿｰﾀﾞ","0003","化成品","02","ｔ","0","数量×単価","1000","0","20180718","230157","SYSTEM","20181005","142955","000003"
"0037","水　食塩水　他","水　食塩水　他","ﾐｽﾞ ｼｮｸｴﾝｽ","0003","化成品","02","ｔ","0","数量×単価","1000","0","20180718","230157","SYSTEM","20180824","133647","000099"
"0033","パンケレート","パンケレート","ﾊﾟﾝｹﾚｰﾄ","0003","化成品","02","ｔ","0","数量×単価","1000","0","20180718","230157","SYSTEM","20180824","133623","000099"
"0032","ダイキレート","ダイキレート","ﾀﾞｲｷﾚｰﾄ","0003","化成品","02","ｔ","0","数量×単価","1000","0","20180718","230157","SYSTEM","20180824","133559","000099"
"0031","ＰＡＣ(ﾎﾟﾘ塩化ｱﾙﾐﾆｳﾑ)","ＰＡＣ(ﾎﾟﾘ塩化ｱﾙﾐﾆｳﾑ","ﾊﾟｯｸ","0003","化成品","02","ｔ","0","数量×単価","1000","0","20180718","230157","SYSTEM","20180824","133547","000099"
"0026","メタノール他","メタノール他","ﾒﾀﾉｰﾙﾎｶ","0003","化成品","02","ｔ","0","数量×単価","1000","0","20180718","230157","SYSTEM","20180824","133518","000099"
"0022","次亜","次亜","ｼﾞｱ","0003","化成品","02","ｔ","0","数量×単価","1000","0","20180718","230157","SYSTEM","20180824","133504","000099"
"0021","塩酸","塩酸","ｴﾝｻﾝ","0003","化成品","02","ｔ","0","数量×単価","1000","0","20180718","230157","SYSTEM","20180824","133344","000099"
"0020","苛性","苛性","ｶｾｲ","0003","化成品","02","ｔ","0","数量×単価","1000","0","20180718","230157","SYSTEM","20180824","133337","000099"
"0030","液バン","液バン","ｴｷﾊﾞﾝ","0004","液バン","02","ｔ","0","数量×単価","1000","0","20180718","230157","SYSTEM","20180824","133533","000099"
"0207","横持","横持","ﾖｺﾓﾁ","0006","その他","","","0","数量×単価","0","0","20190122","144422","000007","20190122","144422","000007"
"0040","Ｓ 硫酸バンド","Ｓ 硫酸バンド","S ﾊﾞﾝﾄﾞ","0006","その他","","","0","数量×単価","0","0","20181024","161452","000001","20181024","161452","000001"
