品目分類コード,品目分類名称,品目分類略称,品目分類検索名称,配車ピース色コード,配車ピース色,使用停止フラグ,登録日,登録時刻,登録社員コード,更新日,更新時刻,更新社員コード
"0022","塩化銅","塩化銅","ｴﾝｶﾄﾞ","","","0","20180718","230155","SYSTEM","20180718","230155","SYSTEM"
"0023","塩化1鉄液","塩化1鉄液","ｲﾁﾃﾂ","","","0","20180718","230155","SYSTEM","20180718","230155","SYSTEM"
"0024","塩化2鉄液","塩化2鉄液","ﾆﾃﾂ","","","0","20180718","230155","SYSTEM","20180718","230155","SYSTEM"
"0025","硫鉄","硫鉄","ﾘｭｳﾃﾂ","","","0","20180718","230155","SYSTEM","20180718","230155","SYSTEM"
"0026","水","水","ﾐｽﾞ","","","0","20180718","230155","SYSTEM","20180718","230155","SYSTEM"
"0027","廃液","廃液","ﾊｲｴｷ","","","0","20180718","230155","SYSTEM","20180718","230155","SYSTEM"
"0028","軽油","軽油","ｹｲﾕ","","","0","20180718","230155","SYSTEM","20180718","230155","SYSTEM"
"0029","ＳＬ水ガラス","ＳＬ水ガラス","ﾐｽﾞｶﾞ","","","0","20180718","230155","SYSTEM","20180718","230155","SYSTEM"
"0030","ＥＣ水ガラス","ＥＣ水ガラス","ﾐﾐｽﾞｶ","","","0","20180718","230155","SYSTEM","20180718","230155","SYSTEM"
"0031","ジオキ-プ","ジオキ-プ","ｼﾞｵｷ-","","","0","20180718","230155","SYSTEM","20180718","230155","SYSTEM"
"0032","珪酸","珪酸","ｹｲｻﾝ","","","0","20180718","230155","SYSTEM","20180718","230155","SYSTEM"
"0033","急結剤","急結剤","ｷｭｳｹﾂ","","","0","20180718","230155","SYSTEM","20180718","230155","SYSTEM"
"0034","ＢＳ","ＢＳ","ﾋﾞｲｴｽ","","","0","20180718","230155","SYSTEM","20180718","230155","SYSTEM"
"0035","オルソ","オルソ","ｵﾙｿ","","","0","20180718","230155","SYSTEM","20180718","230155","SYSTEM"
"0036","ＴＧ","ＴＧ","ﾃｨ-ｼﾞ","","","0","20180718","230155","SYSTEM","20180718","230155","SYSTEM"
"0037","ｶﾞｽ","ｶﾞｽ","ｶﾞｽ","","","0","20180718","230155","SYSTEM","20180718","230155","SYSTEM"
"0001","白油","白油","ｼﾛﾕ","","","0","20180718","230155","SYSTEM","20180718","230155","SYSTEM"
"0002","黒油","黒油","ｸﾛﾕ","","","0","20180718","230155","SYSTEM","20180718","230155","SYSTEM"
"0003","化成品","化成品","ｶｾｲﾋﾝ","","","0","20180718","230155","SYSTEM","20180718","230155","SYSTEM"
"0004","液バン","液バン","ｴｷﾊﾞﾝ","","","0","20180718","230155","SYSTEM","20180718","230155","SYSTEM"
"0005","硬化剤","硬化剤","ｺｳｶｻﾞ","","","0","20180718","230155","SYSTEM","20180718","230155","SYSTEM"
"0006","その他","その他","ｿﾉﾀ","","","0","20180718","230155","SYSTEM","20180718","230155","SYSTEM"
"0011","鋼材","鋼材","ｺｳｻﾞｲ","","","0","20180718","230155","SYSTEM","20180718","230155","SYSTEM"
"0012","シ-ル","シ-ル","ｼ-ﾙ","","","0","20180718","230155","SYSTEM","20180718","230155","SYSTEM"
"0013","ハイポ","ハイポ","ﾊｲﾎﾟ","","","0","20180718","230155","SYSTEM","20180718","230155","SYSTEM"
"0014","ロダン","ロダン","ﾛﾀﾞﾝ","","","0","20180718","230155","SYSTEM","20180718","230155","SYSTEM"
"0021","塩酸","塩酸","ｴﾝｻﾝ","","","0","20180718","230155","SYSTEM","20180718","230155","SYSTEM"
"0074","珪酸","珪酸","ｹｲｻﾝ","","","0","20180809","135426","000002","20180809","135426","000002"
