場所コード,場所名称,場所略称,場所検索名称,郵便番号,住所１,住所２,住所３,電話番号,担当者,備考,方面１コード,方面１名称,方面２コード,方面２名称,使用停止フラグ,登録日,登録時刻,登録社員コード,更新日,更新時刻,更新社員コード
"0002722","ゼオンケミカルズ米沢","ゼオンケミカルズ米沢","ｾﾞｵﾝｹﾐｶﾙｽﾞ","","山形県米沢市八幡原5丁目4149-8","","","0238-29-0055","","","","","","","0","20180718","230157","SYSTEM","20180718","230157","SYSTEM"
"0002723","福島瓦工業","福島瓦工業","ﾌｸｼﾏｶﾜﾗ","","福島県郡山市日和田町八丁目鍛治ヶ入102-5","","","024-958-2755","","","","","","","0","20180718","230157","SYSTEM","20180718","230157","SYSTEM"
"0002724","朝日屋","朝日屋","ｱｻﾋﾔ","","福島県耶麻郡猪苗代町蚕養沼尻山卑2855","","","0242-64-3111","","","","","","","0","20180718","230157","SYSTEM","20180718","230157","SYSTEM"
"0002725","FIM会津事業所ﾃｽﾄｾﾝﾀｰ","FIM会津事業所ﾃｽﾄｾﾝﾀｰ","ｴﾌｱｲｴﾑｱｲﾂﾞ","","福島県会津若松市神指町大字高久高久工場","","","0242-39-7921","","","","","","","0","20180718","230157","SYSTEM","20180718","230157","SYSTEM"
"0002726","SUS　福島事業所","SUS　福島事業所","ｴｽﾕｰｴｽ","","福島県須賀川市虹の台21-1","","","0248-89-1210","","","","","","","0","20180718","230157","SYSTEM","20180718","230157","SYSTEM"
"0002727","JUKI 会津","JUKI 会津","ｼﾞﾕｳｷｱｲﾂﾞ","","福島県喜多方市塩川町小府根字近江75","","","0241-27-3101","","","","","","","0","20180718","230157","SYSTEM","20180718","230157","SYSTEM"
"0002728","東北シール工業","東北シール工業","ﾄｳﾎｸｼｰﾙ","","福島県耶麻郡猪苗代町大字磐根字中曽根","2422-37","","0242-65-2411","","","","","","","0","20180718","230157","SYSTEM","20180718","230157","SYSTEM"
"0002729","船引パーク","船引パーク","ﾌﾈﾋｷﾊﾟｰｸ","","福島県田村市船引町船引字原田9","","","0247-82-4520","","","","","","","0","20180718","230157","SYSTEM","20180718","230157","SYSTEM"
"0002730","大崎広域　六の国汚泥再処理センタ","大崎広域　六の国汚泥","ｵｵｻｷｺｳｲｷ","","宮城県加美郡加美町新川原92","","","","","","","","","","0","20180718","230157","SYSTEM","20180718","230157","SYSTEM"
"0002731","清水食品東北事業本部","清水食品東北事業本部","ｼﾐｽﾞｼｮｸﾋﾝ","","福島県喜多方市字清水台二丁目75","","","0241-22-1234","","","","","","","0","20180718","230157","SYSTEM","20180718","230157","SYSTEM"
"0002732","NIPPO南会津出張所","NIPPO南会津出張所","ﾆｯﾎﾟﾐﾅﾐｱｲﾂ","","福島県南会津郡下郷町落合西778","","","0241-62-3114","","","","","","","0","20180718","230157","SYSTEM","20180718","230157","SYSTEM"
"0002733","ホテル華ノ湯　華風館","ホテル華ノ湯　華風館","ﾎﾃﾙﾊﾅﾉﾕｶﾌｳｶﾝ","","福島県郡山市熱海町熱海5-8-60","","","024-984-2222","","","","","","","0","20180718","230157","SYSTEM","20180730","131511","000001"
"0002734","ホテル華ノ湯　松風館","ホテル華ノ湯　松風館","ﾎﾃﾙﾊﾅﾉﾕｼｮｳﾌｳｶﾝ","","福島県郡山市熱海町熱海5-8-60","","","024-984-2222","","","","","","","0","20180718","230157","SYSTEM","20180730","131551","000001"
"0002735","郡山市立第二中学校給食センター","郡山市立第二中学校給","ｺｵﾘﾔﾏｼﾘﾂﾀﾞｲﾆﾁｭｳｶﾞｯｺｳ","","福島県郡山市片平町的場63","","","024-952-4951","","","","","","","0","20180718","230157","SYSTEM","20180730","131715","000001"
"0002737","DOWAハイテック","DOWAハイテック","ﾄﾞﾜﾊｲﾃｯｸ","","埼玉県本庄市仁手1781","","","0495-21-6111","","","","","","","0","20180718","230157","SYSTEM","20180718","230157","SYSTEM"
"0002738","ＪＲ東日本　総合研修センター","ＪＲ東日本　総合研修","ｼﾞｪｲｱｰﾙﾋｶﾞ","","福島県白河市十三原道下1-1","","","0248-31-2827","","","","","","","0","20180718","230157","SYSTEM","20180718","230157","SYSTEM"
"0002739","エルムホーム","エルムホーム","ｴﾙﾑﾎｰﾑ","","福島県喜多方市塩川町金橋土ジョウ沼4198-2","","","0241-27-3525","","","","","","","0","20180718","230157","SYSTEM","20180718","230157","SYSTEM"
"0002740","NHK郡山支局","NHK郡山支局","ｴﾇｴｲﾁｹｲ","","福島県郡山市麓山1丁目5-21","","","024-932-5500","","","","","","","0","20180718","230157","SYSTEM","20180718","230157","SYSTEM"
"0002741","マルト建設","マルト建設","ﾏﾙﾄｹﾝｾﾂ","","福島県河原郡会津坂下町大字牛川字砂田565","","","02428-3-0010","","","","","","","0","20180718","230157","SYSTEM","20180718","230157","SYSTEM"
"0002742","箭内硝子　郡山工場","箭内硝子　郡山工場","ﾔﾅｲｶﾞﾗｽ","","福島県郡山市喜久田町菖蒲池22-173","","","0249-59-2710","","","","","","","0","20180718","230157","SYSTEM","20180718","230157","SYSTEM"
