部門コード,部門略称,得意先コード,得意先略称,所属会社コード,所属会社略称,発地方面１コード,発地方面１名称,発地方面２コード,発地方面２名称,発地コード,発地略称,着地方面１コード,着地方面１名称,着地方面２コード,着地方面２名称,着地コード,着地略称,品名コード,品名略称,単位コード,単位略称,車種コード,車種略称,適用日FROM,適用日TO,請求単価金額区分,請求単価金額区分名称,請求単価,請求基本料,請求付帯料金１,請求付帯料金２,請求付帯料金３,請求付帯料金４,請求付帯料金５,支払単価金額区分,支払単価金額区分名称,支払単価,支払基本料,支払付帯料金１,支払付帯料金２,支払付帯料金３,支払付帯料金４,支払付帯料金５,使用停止フラグ,登録日,登録時刻,登録社員コード,更新日,更新時刻,更新社員コード
"07","川崎営業所","07001     0700000","ニヤクコーポ","00000000000700000","","0000","","0000","","0002598","丸紅エネックス","0000","","0000","","0009004","富士フィルム　小田原","00000000000000000000","","00","","000","","20000101","99999999","1","金額","0","0","0","0","0","0","0","1","金額","0","0","0","0","0","0","0","0","20181019","115647","000005","20190130","103642","000005"
"07","川崎営業所","07001     0700000","ニヤクコーポ","00000000000700000","","0000","","0000","","0002598","丸紅エネックス","0000","","0000","","0009006","日立化成㈱","00000000000000000000","","00","","000","","20000101","99999999","0","単価","1000","0","0","0","0","0","0","1","金額","0","0","0","0","0","0","0","0","20180810","150407","000005","20180822","132149","000005"
"07","川崎営業所","07001     0700000","ニヤクコーポ","00000000000700000","","0000","","0000","","0002598","丸紅エネックス","0000","","0000","","0009009","大商化成","00000000000000000000","","00","","000","","20000101","99999999","1","金額","0","0","0","0","0","0","0","1","金額","0","0","0","0","0","0","0","0","20181010","113909","000005","20190704","105506","000005"
"07","川崎営業所","07001     0700000","ニヤクコーポ","00000000000700000","","0000","","0000","","0002598","丸紅エネックス","0000","","0000","","0002604","ｴﾌ･ｼｰ･ｼｰ","00000000000000000000","","00","","000","","20000101","99999999","1","金額","0","0","0","0","0","0","0","1","金額","0","0","0","0","0","0","0","0","20181029","103941","000005","20190109","111223","000005"
"07","川崎営業所","07001     0700000","ニヤクコーポ","00000000000700000","","0000","","0000","","0002598","丸紅エネックス","0000","","0000","","0003003","東京精溜工業","00000000000000000000","","00","","000","","20000101","99999999","1","金額","0","0","0","0","0","0","0","1","金額","0","0","0","0","0","0","0","0","20180822","115627","000005","20190531","130137","000005"
"07","川崎営業所","07001     0700000","ニヤクコーポ","00000000000700000","","0000","","0000","","0002598","丸紅エネックス","0000","","0000","","0003004","日東化学産業","00000000000000000000","","00","","000","","20000101","99999999","1","金額","0","0","0","0","0","0","0","1","金額","0","0","0","0","0","0","0","0","20181019","114706","000005","20230314","093301","000005"
"07","川崎営業所","07001     0700000","ニヤクコーポ","00000000000700000","","0000","","0000","","0002598","丸紅エネックス","0000","","0000","","0003007","富士フィルム　富士宮","00000000000000000000","","00","","000","","20000101","99999999","1","金額","0","0","0","0","0","0","0","1","金額","0","0","0","0","0","0","0","0","20181005","125901","000005","20230413","092948","000005"
"07","川崎営業所","07001     0700000","ニヤクコーポ","00000000000700000","","0000","","0000","","0002598","丸紅エネックス","0000","","0000","","0005123","日宝化学","00000000000000000000","","00","","000","","20000101","99999999","1","金額","0","0","0","0","0","0","0","1","金額","0","0","0","0","0","0","0","0","20190207","104915","000005","20230208","095118","000005"
"07","川崎営業所","07001     0700000","ニヤクコーポ","00000000000700000","","0000","","0000","","0002598","丸紅エネックス","0000","","0000","","0010382","富士ﾌｲﾙﾑ和光純薬","00000000000000000000","","00","","000","","20000101","99999999","1","金額","0","0","0","0","0","0","0","1","金額","0","0","0","0","0","0","0","0","20180914","095939","000005","20231206","094041","000005"
"07","川崎営業所","07001     0700000","ニヤクコーポ","00000000000700000","","0000","","0000","","0010382","富士ﾌｲﾙﾑ和光純薬","0000","","0000","","0010382","富士ﾌｲﾙﾑ和光純薬","00000000000000000000","","00","","000","","20000101","99999999","1","金額","0","0","0","0","0","0","0","1","金額","0","0","0","0","0","0","0","0","20181106","130218","000005","20181106","130218","000005"
"07","川崎営業所","07001     0700000","ニヤクコーポ","00000000000700000","","0000","","0000","","0002598","丸紅エネックス","0000","","0000","","0010384","東邦化学  追浜","00000000000000000000","","00","","000","","20000101","99999999","1","金額","0","0","0","0","0","0","0","1","金額","0","0","0","0","0","0","0","0","20180822","104349","000005","20230714","094918","000005"
"07","川崎営業所","07001     0700000","ニヤクコーポ","00000000000700000","","0000","","0000","","0002598","丸紅エネックス","0000","","0000","","0010385","ｺﾙｺｰﾄ 渡柳工場","00000000000000000000","","00","","000","","20000101","99999999","1","金額","0","0","0","0","0","0","0","1","金額","0","0","0","0","0","0","0","0","20190128","104946","000005","20230621","093218","000005"
"07","川崎営業所","07001     0700000","ニヤクコーポ","00000000000700000","","0000","","0000","","0002598","丸紅エネックス","0000","","0000","","0010457","シーシーアイ（埼玉）","00000000000000000000","","00","","000","","20000101","99999999","1","金額","0","0","0","0","0","0","0","1","金額","0","0","0","0","0","0","0","0","20181010","113946","000005","20190116","104249","000005"
"07","川崎営業所","07001     0700000","ニヤクコーポ","00000000000700000","","0000","","0000","","0002598","丸紅エネックス","0000","","0000","","0020005","ＤＩＣ千葉","00000000000000000000","","00","","000","","20000101","99999999","1","金額","0","0","0","0","0","0","0","1","金額","0","0","0","0","0","0","0","0","20230410","104304","000005","20230529","105731","000005"
"07","川崎営業所","07001     0700000","ニヤクコーポ","00000000000700000","","0000","","0000","","0009006","日立化成㈱","0000","","0000","","0002598","丸紅エネックス","00000000000000000000","","00","","000","","20000101","99999999","1","金額","0","20000","0","0","0","0","0","1","金額","0","0","0","0","0","0","0","0","20180810","150958","000005","20180810","150958","000005"
"07","川崎営業所","07001     0700000","ニヤクコーポ","00000000000700000","","0000","","0000","","0002598","丸紅エネックス","0000","","0000","","0002115","古河薬品","00000000000000000000","","00","","000","","20000101","99999999","1","金額","0","0","0","0","0","0","0","1","金額","0","0","0","0","0","0","0","0","20180921","125608","000005","20221027","093647","000005"
"07","川崎営業所","07001     0700000","ニヤクコーポ","00000000000700000","","0000","","0000","","0002598","丸紅エネックス","0000","","0000","","0010534","昭和ｲﾝｸ/埼玉","00000000000000000000","","00","","000","","20000101","99999999","1","金額","0","0","0","0","0","0","0","1","金額","0","0","0","0","0","0","0","0","20180926","125730","000005","20230328","094045","000005"
"07","川崎営業所","07001     0700000","ニヤクコーポ","00000000000700000","","0000","","0000","","0002598","丸紅エネックス","0000","","0000","","0008011","大伸化学/越谷","00000000000000000000","","00","","000","","20000101","99999999","1","金額","0","0","0","0","0","0","0","1","金額","0","0","0","0","0","0","0","0","20190910","114437","000005","20190910","114437","000005"
"07","川崎営業所","07001     0700000","ニヤクコーポ","00000000000700000","","0000","","0000","","0002598","丸紅エネックス","0000","","0000","","0008013","ﾀﾞﾝｹﾐｶﾙ 茨城","00000000000000000000","","00","","000","","20000101","99999999","1","金額","0","0","0","0","0","0","0","1","金額","0","0","0","0","0","0","0","0","20181126","104653","000005","20230601","092651","000005"
"07","川崎営業所","07001     0700000","ニヤクコーポ","00000000000700000","","0000","","0000","","0002598","丸紅エネックス","0000","","0000","","0008023","太平化成/久喜","00000000000000000000","","00","","000","","20000101","99999999","1","金額","0","0","0","0","0","0","0","1","金額","0","0","0","0","0","0","0","0","20181214","104432","000005","20221223","093217","000005"
"07","川崎営業所","07001     0700000","ニヤクコーポ","00000000000700000","","0000","","0000","","0002598","丸紅エネックス","0000","","0000","","0020071","日立化成","00000000000000000000","","00","","000","","20000101","99999999","1","金額","0","0","0","0","0","0","0","1","金額","0","0","0","0","0","0","0","0","20190712","125526","000005","20231114","095723","000005"
"07","川崎営業所","07001     0700000","ニヤクコーポ","00000000000700000","","0000","","0000","","0010633","富士フイルム富士宮","0000","","0000","","0010633","富士フイルム富士宮","00000000000000000000","","00","","000","","20000101","99999999","1","金額","0","0","0","0","0","0","0","1","金額","0","0","0","0","0","0","0","0","20181115","105314","000005","20181115","105314","000005"
"07","川崎営業所","07001     0700000","ニヤクコーポ","00000000000700000","","0000","","0000","","0002598","丸紅エネックス","0000","","0000","","0010633","富士フイルム富士宮","00000000000000000000","","00","","000","","20000101","99999999","1","金額","0","0","0","0","0","0","0","1","金額","0","0","0","0","0","0","0","0","20180905","113341","000005","20230412","093241","000005"
"07","川崎営業所","07001     0700000","ニヤクコーポ","00000000000700000","","0000","","0000","","0002598","丸紅エネックス","0000","","0000","","0010603","稲垣鋳物","00000000000000000000","","00","","000","","20000101","99999999","1","金額","0","0","0","0","0","0","0","1","金額","0","0","0","0","0","0","0","0","20190123","103711","000005","20230923","100757","000005"
"07","川崎営業所","07001     0700000","ニヤクコーポ","00000000000700000","","0000","","0000","","0002598","丸紅エネックス","0000","","0000","","0020115","日立化成","00000000000000000000","","00","","000","","20000101","99999999","1","金額","0","0","0","0","0","0","0","1","金額","0","0","0","0","0","0","0","0","20180919","110007","000005","20230609","093011","000005"
"07","川崎営業所","07001     0700000","ニヤクコーポ","00000000000700000","","0000","","0000","","0002598","丸紅エネックス","0000","","0000","","0010480","肥田商店","00000000000000000000","","00","","000","","20000101","99999999","1","金額","0","0","0","0","0","0","0","1","金額","0","0","0","0","0","0","0","0","20181130","105122","000005","20230410","103716","000005"
"07","川崎営業所","07001     0700000","ニヤクコーポ","00000000000700000","","0000","","0000","","0002598","丸紅エネックス","0000","","0000","","0010443","富士フィルム","00000000000000000000","","00","","000","","20000101","99999999","1","金額","0","0","0","0","0","0","0","1","金額","0","0","0","0","0","0","0","0","20181005","130009","000005","20221107","094045","000005"
"07","川崎営業所","07001     0700000","ニヤクコーポ","00000000000700000","","0000","","0000","","0002598","丸紅エネックス","0000","","0000","","0010479","東日本塗料","00000000000000000000","","00","","000","","20000101","99999999","1","金額","0","0","0","0","0","0","0","1","金額","0","0","0","0","0","0","0","0","20221026","093135","000005","20221026","093135","000005"
"07","川崎営業所","07001     0700000","ニヤクコーポ","00000000000700000","","0000","","0000","","0002598","丸紅エネックス","0000","","0000","","0020207","中正商店","00000000000000000000","","00","","000","","20000101","99999999","1","金額","0","0","0","0","0","0","0","1","金額","0","0","0","0","0","0","0","0","20230315","093657","000005","20230315","093657","000005"
"07","川崎営業所","07001     0700000","ニヤクコーポ","00000000000700000","","0000","","0000","","0002598","丸紅エネックス","0000","","0000","","0010473","日生ｸﾘｰﾝ","00000000000000000000","","00","","000","","20000101","99999999","1","金額","0","0","0","0","0","0","0","1","金額","0","0","0","0","0","0","0","0","20231102","091615","000005","20231107","140110","000005"
"07","川崎営業所","07001     0700000","ニヤクコーポ","00000000000700000","","0000","","0000","","0002598","丸紅エネックス","0000","","0000","","0010472","日東化成","00000000000000000000","","00","","000","","20000101","99999999","1","金額","0","0","0","0","0","0","0","1","金額","0","0","0","0","0","0","0","0","20190123","103711","000005","20231018","101918","000005"
"07","川崎営業所","07001     0700000","ニヤクコーポ","00000000000700000","","0000","","0000","","0002598","丸紅エネックス","0000","","0000","","0020166","富士フイルム足柄","00000000000000000000","","00","","000","","20000101","99999999","1","金額","0","0","0","0","0","0","0","1","金額","0","0","0","0","0","0","0","0","20180926","124649","000005","20230811","135922","000005"
"07","川崎営業所","07001     0700000","ニヤクコーポ","00000000000700000","","0000","","0000","","0002598","丸紅エネックス","0000","","0000","","0010637","砂金本店","00000000000000000000","","00","","000","","20000101","99999999","1","金額","0","0","0","0","0","0","0","1","金額","0","0","0","0","0","0","0","0","20190305","105412","000005","20221115","093340","000005"
"01","東京営業所","00052     0100000","東曹産業","00000000000100000","","0000","","0000","","0007003","","0000","","0000","","000000000000","","0099","","00","","000","","20000101","99999999","1","金額","0","53600","0","0","0","0","0","0","単価","0","0","0","0","0","0","0","0","20180718","230157","SYSTEM","20180718","230157","SYSTEM"
"01","東京営業所","00051     0100000","吉田化学","00000000000100000","","0000","","0000","","0007001","","0000","","0000","","000000000000","","0096","","00","","000","","20000101","99999999","1","金額","0","33400","0","0","0","0","0","0","単価","0","0","0","0","0","0","0","0","20180718","230157","SYSTEM","20180718","230157","SYSTEM"
"01","東京営業所","00052     0100000","東曹産業","00000000000100000","","0000","","0000","","0007001","","0000","","0000","","000000000000","","0071","","00","","000","","20000101","99999999","1","金額","0","38800","0","0","0","0","0","0","単価","0","0","0","0","0","0","0","0","20180718","230157","SYSTEM","20180718","230157","SYSTEM"
"01","東京営業所","00052     0100000","東曹産業","00000000000100000","","0000","","0000","","0007001","","0000","","0000","","000000000000","","0073","","00","","000","","20000101","99999999","1","金額","0","29800","0","0","0","0","0","0","単価","0","0","0","0","0","0","0","0","20180718","230157","SYSTEM","20180718","230157","SYSTEM"
"01","東京営業所","00052     0100000","東曹産業","00000000000100000","","0000","","0000","","0007001","","0000","","0000","","000000000000","","0074","珪酸","00","","000","","20000101","99999999","1","金額","0","20200","0","0","0","0","0","0","単価","0","0","0","0","0","0","0","0","20180718","230157","SYSTEM","20180718","230157","SYSTEM"
"01","東京営業所","00052     0100000","東曹産業","00000000000100000","","0000","","0000","","0007001","","0000","","0000","","000000000000","","0077","","00","","000","","20000101","99999999","1","金額","0","33400","0","0","0","0","0","0","単価","0","0","0","0","0","0","0","0","20180718","230157","SYSTEM","20180718","230157","SYSTEM"
"01","東京営業所","00052     0100000","東曹産業","00000000000100000","","0000","","0000","","0007001","","0000","","0000","","000000000000","","0078","","00","","000","","20000101","99999999","1","金額","0","24300","0","0","0","0","0","0","単価","0","0","0","0","0","0","0","0","20180718","230157","SYSTEM","20180718","230157","SYSTEM"
"01","東京営業所","00052     0100000","東曹産業","00000000000100000","","0000","","0000","","0007001","","0000","","0000","","000000000000","","0079","","00","","000","","20000101","99999999","1","金額","0","32000","0","0","0","0","0","0","単価","0","0","0","0","0","0","0","0","20180718","230157","SYSTEM","20180718","230157","SYSTEM"
"01","東京営業所","00052     0100000","東曹産業","00000000000100000","","0000","","0000","","0007001","","0000","","0000","","000000000000","","0081","","00","","000","","20000101","99999999","1","金額","0","77200","0","0","0","0","0","0","単価","0","0","0","0","0","0","0","0","20180718","230157","SYSTEM","20180718","230157","SYSTEM"
"01","東京営業所","00052     0100000","東曹産業","00000000000100000","","0000","","0000","","0007001","","0000","","0000","","000000000000","","0085","","00","","000","","20000101","99999999","1","金額","0","36300","0","0","0","0","0","0","単価","0","0","0","0","0","0","0","0","20180718","230157","SYSTEM","20180718","230157","SYSTEM"
