得意先コード,CD1,取引先略称,CD2,部門略称,CD3,得意先名称１,得意先名称２,得意先略称,得意先検索名称,郵便番号,住所１,住所２,住所３,電話番号,ＦＡＸ番号,担当者,メールアドレス,社内外取引区分,社内外取引区分名称,金額端数単位区分,金額端数単位区分名称,金額端数処理区分,金額端数処理区分名称,運賃区分,運賃区分名称,運賃参照所属会社,運賃参照所属会社名称,運賃参照発地方面,運賃参照発地方面名称,運賃参照発地,運賃参照発地名称,運賃参照着地方面,運賃参照着地方面名称,運賃参照着地,運賃参照着地名称,運賃参照品名,運賃参照品名名称,運賃参照単位,運賃参照単位名称,運賃参照車種,運賃参照車種名称,請求基準区分,請求基準区分名称,請求担当部門コード,請求担当部門略称,名寄得意先コード,名寄得意先略称,請求区分,請求区分名称,請求消費税計算区分,請求消費税計算区分名称,請求消費税端数単位区分,請求消費税端数単位区分名称,請求消費税端数処理区分,請求消費税端数処理区分名称,請求編集単位,請求編集単位名称,請求編集種別,請求編集種別名称,請求自社情報コード,請求自社情報名称,請求書定義No,請求書定義名称,備考１,備考２,備考３,備考４,備考５,使用停止フラグ,登録日,登録時刻,登録社員コード,更新日,更新時刻,更新社員コード
"07001     0100000","07001","","01","東京営業所","00000","株式会社ニヤクコーポレーション","関東支店","ニヤクコーポ","ﾆﾔｸ","135-0041","東京都江東区冬木14-5","","","","","","","1","社外","0","1円未満","0","切捨","3","運賃計算する","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","1","積日請求","07","川崎営業所","07001     0100000","ニヤクコーポ","0","個別","2","請求一括","0","1円未満","2","四捨五入","0","指定無し","0","指定無し","01","自社","005","請求書A4 1行明細縦","","","","","","0","20180831","114913","000003","20181213","104856","000004"
"20211     0700000","20211","","07","川崎営業所","00000","三菱商事株式会社","","三菱商事株式会社","ﾐﾂﾋﾞｼｼｮｳｼﾞ","100-8086","東京都千代田区丸の内2-6-1","丸の内パークビルディング","","03-3210-5525","03-3210-5132","","","1","社外","0","1円未満","0","切捨","3","運賃計算する","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","1","積日請求","07","川崎営業所","20211     0700000","三菱商事株式会社","0","個別","2","請求一括","0","1円未満","0","切捨","0","指定無し","0","指定無し","01","自社","005","請求書A4 1行明細縦","","","","","","0","20190711","164555","000005","20190731","112438","000099"
"20211     0100000","20211","","01","東京営業所","00000","三菱商事株式会社","","三菱商事株式会社","ﾐﾂﾋﾞｼｼｮｳｼﾞ","100-8086","東京都千代田区丸の内2-6-1","丸の内パークビルディング","","03-3210-5525","03-3210-5132","","","1","社外","0","1円未満","0","切捨","3","運賃計算する","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","1","積日請求","07","川崎営業所","20211     0100000","三菱商事株式会社","0","個別","2","請求一括","0","1円未満","0","切捨","0","指定無し","0","指定無し","01","自社","005","請求書A4 1行明細縦","","","","","","0","20190717","143650","000099","20190731","112519","000099"
"00040     0200001","00040","","02","小名浜営業所","00001","株式会社丸運トランスポート東日本","東北支店　小名浜営業所","丸運ﾄﾗﾝｽﾎﾟｰﾄ","ﾏﾙｳﾝﾄﾗﾝｽﾎﾟ","971-8183","福島県いわき市泉町下川大剣1-52","","","0246-75-0688","","","","1","社外","0","1円未満","2","四捨五入","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","1","積日請求","02","小名浜営業所","00040     0200001","丸運ﾄﾗﾝｽﾎﾟｰﾄ","0","個別","2","請求一括","0","1円未満","0","切捨","0","指定無し","0","指定無し","01","自社","001","請求書A4 2行明細標準","","","","","","0","20201014","091925","000001","20201014","092930","000001"
"00126     0600001","00126","","06","仙台営業所","00001","大郷運輸株式会社","","大郷運輸株式会社","ｵｵｻﾄｳﾝﾕ","985-0011","宮城県塩釜市貞山通三丁目20-1","","","022-361-0323","022-361-0320","","","1","社外","0","1円未満","0","切捨","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","1","積日請求","02","小名浜営業所","00126     0600001","大郷運輸株式会社","0","個別","3","明細毎外税","0","1円未満","2","四捨五入","0","指定無し","0","指定無し","01","自社","001","請求書A4 2行明細標準","","","","","","0","20210416","090454","000006","20210514","141227","000099"
"00134     0600000","00134","","06","仙台営業所","00000","大郷運輸株式会社","","大郷運輸　その他","ｵｵｻﾄｳﾝﾕ","985-0011","宮城県塩釜市貞山通三丁目20-1","","","022-361-0323","022-361-0320","","","1","社外","0","1円未満","0","切捨","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","1","積日請求","02","小名浜営業所","00134     0600000","大郷運輸　その他","0","個別","3","明細毎外税","0","1円未満","2","四捨五入","0","指定無し","0","指定無し","01","自社","001","請求書A4 2行明細標準","","","","","","0","20210416","091833","000006","20210514","141312","000099"
"00050     0600001","00050","","06","仙台営業所","00001","回送","","回送","ｶｲｿｳ","","","","","","","","","1","社外","0","1円未満","0","切捨","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","1","積日請求","06","仙台営業所","00050     0600001","回送","0","個別","2","請求一括","0","1円未満","0","切捨","0","指定無し","0","指定無し","01","自社","001","請求書A4 2行明細標準","","","","","","0","20210419","133626","000006","20210419","133626","000006"
"00054     0100000","00054","","01","東京営業所","00000","日本アルコール物流株式会社","","日本アルコール","ﾆﾎﾝ","273-0017","千葉県船橋市西浦2-11-1","","","047-435-0315","047-435-1148","","","1","社外","0","1円未満","0","切捨","0","対象外","0","対象外","0","対象外","1","対象","0","対象外","0","対象外","1","対象","0","対象外","0","対象外","2","着日請求","01","東京営業所","00054     0100000","日本アルコール","0","個別","2","請求一括","0","1円未満","0","切捨","0","指定無し","2","小計","01","自社","005","請求書A4 1行明細縦","","","","","","0","20220909","164416","000004","20221025","103459","000099"
"20379     0800000","20379","","08","九州営業所","00000","安藤パラケミー株式会社","","安藤パラケミー㈱","ｱﾝﾄﾞｳﾊﾟﾗｹﾐｰ","812-0011","福岡県福岡市博多区博多駅前3丁目27番25号　第2岡部ビル","","","092-451-8626","092-451-8596","","","1","社外","0","1円未満","2","四捨五入","3","運賃計算する","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","2","着日請求","08","九州営業所","20379     0800000","安藤パラケミー㈱","0","個別","2","請求一括","0","1円未満","2","四捨五入","0","指定無し","0","指定無し","01","自社","006","請求書A4 1行明細縦九州","","","","","","0","20231018","172009","000004","20231023","125158","000007"
"20345     0800000","20345","","08","九州営業所","00000","富士化学株式会社","九州工場","富士化学㈱","ﾌｼﾞｶｶﾞｸ","800-0115","北九州市門司区新門司","3-53-1","","093-481-3370","","","","1","社外","0","1円未満","2","四捨五入","3","運賃計算する","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","2","着日請求","08","九州営業所","20345     0800000","富士化学㈱","0","個別","2","請求一括","0","1円未満","2","四捨五入","0","指定無し","0","指定無し","01","自社","007","請求書A4 1行明細縦富士化学","","","","","","0","20230314","105600","000004","20230314","134238","000004"
"00141     0100000","00141","","01","東京営業所","00000","京極運輸商事株式会社","","京極運輸商事","ｷｮｳｺﾞｸｳﾝﾕｼｮｳｼﾞ","","","","","","","","","1","社外","0","1円未満","0","切捨","3","運賃計算する","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","1","積日請求","07","川崎営業所","00141     0100000","京極運輸商事","0","個別","2","請求一括","0","1円未満","2","四捨五入","0","指定無し","0","指定無し","01","自社","005","請求書A4 1行明細縦","","","","","","0","20231110","165114","000004","20231110","165114","000004"
"00141     0700000","00141","","07","川崎営業所","00000","京極運輸商事株式会社","","京極運輸商事","ｷｮｳｺﾞｸｳﾝﾕｼｮｳｼﾞ","","","","","","","","","1","社外","0","1円未満","0","切捨","3","運賃計算する","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","2","着日請求","07","川崎営業所","00141     0700000","京極運輸商事","0","個別","2","請求一括","0","1円未満","0","切捨","0","指定無し","0","指定無し","01","自社","005","請求書A4 1行明細縦","","","","","","0","20231113","162900","000004","20231113","162900","000004"
"20380     0800000","20380","","08","九州営業所","00000","三井物産ケミカル㈱","","三井物産ケミカル㈱","ﾐﾂｲﾌﾞｯｻﾝｹﾐｶﾙ","812-0025","福岡県福岡市博多区店屋町1-35","博多三井ビル2号館","","092-271-8273","","","","1","社外","0","1円未満","0","切捨","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","1","積日請求","08","九州営業所","20380     0800000","三井物産ケミカル㈱","0","個別","2","請求一括","0","1円未満","0","切捨","0","指定無し","0","指定無し","01","自社","006","請求書A4 1行明細縦九州","","","","","","0","20240116","133303","000007","20240116","133303","000007"
"20381     0800000","20381","","08","九州営業所","00000","三菱ガス化学トレーディング","","三菱ガス化学トレーデ","ﾐﾂﾋﾞｼｶﾞｽｶｶﾞｸﾄﾚｰﾃﾞｨﾝｸ","101-0054","東京都千代田区神田錦町2-2-1","KANDA SQUARE 15F","","","","","","1","社外","0","1円未満","0","切捨","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","1","積日請求","08","九州営業所","20381     0800000","三菱ガス化学トレーデ","0","個別","2","請求一括","0","1円未満","0","切捨","0","指定無し","0","指定無し","01","自社","006","請求書A4 1行明細縦九州","","","","","","0","20240119","110518","000007","20240119","110518","000007"
"00000     0100000","00000","","01","東京営業所","00000","若林運送株式会社","東京営業所","自社","ｼﾞｼｬ","","","","","","","","","2","社内","0","1円未満","0","切捨","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","1","積日請求","01","東京営業所","00000     0100000","自社","0","個別","2","請求一括","0","1円未満","0","切捨","4","車番毎","2","小計","01","自社","001","請求書A4 2行明細標準","","","","","","0","20180718","230155","SYSTEM","20180718","230155","SYSTEM"
