所属会社コード,CD1,取引先略称,CD2,部門略称,CD3,所属会社名称１,所属会社名称２,所属会社略称,所属会社検索名称,郵便番号,住所１,住所２,住所３,電話番号,ＦＡＸ番号,メールアドレス,担当者,社内外取引区分,社内外取引区分名称,自車傭車区分,自車傭車区分名称,所属会社区分,所属会社区分名称,金額端数単位区分,金額端数単位区分名称,金額端数処理区分,金額端数処理区分名称,傭車料率(単位：％),支払基準区分,支払基準区分名称,支払担当部門コード,支払担当部門略称,名寄所属会社コード,名寄所属会社略称,支払区分,支払区分名称,支払消費税計算区分,支払消費税計算区分名称,支払消費税端数単位区分,支払消費税端数単位区分名称,支払消費税端数処理区分,支払消費税端数処理区分名称,支払編集単位,支払編集単位名称,支払編集種別,支払編集種別名称,支払自社情報コード,支払自社情報名称,支払通知書定義No,支払通知書定義略称,備考１,備考２,備考３,備考４,備考５,使用停止フラグ,登録日,登録時刻,登録社員コード,更新日,更新時刻,更新社員コード
"00000     0100000","00000","（自社）","01","東京営業所","00000","若林運送株式会社","東京営業所","自社","ｼﾞｼｬ","","","","","","","","","2","社内","1","自車","1","自車","0","1円未満","0","切捨","0","1","積日支払","01","東京営業所","00000     0100000","自社","0","個別","0","なし","0","1円未満","0","切捨","0","指定無し","0","指定無し","01","自社","001","支払通知書A4 1行明細形式","","","","","","0","20180718","230155","SYSTEM","20180718","230155","SYSTEM"
"00000     0200000","00000","（自社）","02","小名浜営業所","00000","若林運送株式会社","小名浜営業所","自社","ｼﾞｼｬ","","","","","","","","","2","社内","1","自車","1","自車","0","1円未満","0","切捨","0","1","積日支払","02","小名浜営業所","00000     0200000","自社","0","個別","0","なし","0","1円未満","0","切捨","0","指定無し","0","指定無し","01","自社","001","支払通知書A4 1行明細形式","","","","","","0","20180718","230155","SYSTEM","20180718","230155","SYSTEM"
"00000     0600000","00000","（自社）","06","仙台営業所","00000","若林運送株式会社","仙台営業所","自社","ｼﾞｼｬ","","","","","","","","","2","社内","1","自車","1","自車","0","1円未満","0","切捨","0","1","積日支払","06","仙台営業所","00000     0600000","自社","0","個別","0","なし","0","1円未満","0","切捨","0","指定無し","0","指定無し","01","自社","001","支払通知書A4 1行明細形式","","","","","","0","20180718","230155","SYSTEM","20180718","230155","SYSTEM"
"00000     0700000","00000","（自社）","07","川崎営業所","00000","若林運送株式会社","川崎営業所","自社","ｼﾞｼｬ","","","","","","","","","2","社内","1","自車","1","自車","0","1円未満","0","切捨","0","1","積日支払","07","川崎営業所","00000     0700000","自社","0","個別","0","なし","0","1円未満","0","切捨","0","指定無し","0","指定無し","01","自社","001","支払通知書A4 1行明細形式","","","","","","0","20180718","230155","SYSTEM","20180718","230155","SYSTEM"
"00000     0800000","00000","（自社）","08","九州営業所","00000","若林運送株式会社","九州営業所","自社","ｼﾞｼｬ","","","","","","","","","2","社内","1","自車","1","自車","0","1円未満","0","切捨","0","1","積日支払","08","九州営業所","00000     0800000","自社","0","個別","0","なし","0","1円未満","0","切捨","0","指定無し","0","指定無し","01","自社","001","支払通知書A4 1行明細形式","","","","","","0","20180718","230155","SYSTEM","20180718","230155","SYSTEM"
"00146     0800001","00146","有限会社　長運輸","08","九州営業所","00001","有限会社　長運輸","","有限会社　長運輸","ﾁｮｳｳﾝﾕ","806-0001","福岡県北九州市八幡西区","築地町18番57号","","093-642-5039","093-641-6394","","","1","社外","2","傭車","3","専属","0","1円未満","0","切捨","0","1","積日支払","08","九州営業所","00146     0800001","","0","個別","0","なし","0","1円未満","0","切捨","0","指定無し","0","指定無し","01","自社","001","支払通知書A4 1行明細形式","","","","","","0","20181003","155636","000007","20181003","155636","000007"
"10012     0100000","10012","アサミズ運輸","01","東京営業所","00000","㈱アサミズ運輸","","アサミズ運輸","ｱｻﾐｽﾞ","971-8125","いわき市小名浜島字渡地57","","","0246-44-1025","0246-44-1018","","","1","社外","2","傭車","3","専属","0","1円未満","0","切捨","0","1","積日支払","01","東京営業所","10012     0100000","","0","個別","2","請求一括","0","1円未満","2","四捨五入","0","指定なし","0","指定なし","01","自社","001","支払通知書A4 1行明細形式","","","","","","0","20180718","230156","SYSTEM","20180718","230156","SYSTEM"
"10003     0100000","10003","その他","01","東京営業所","00000","その他","","その他","ｿﾉﾀ","","","","","","","","","1","社外","2","傭車","3","専属","0","1円未満","0","切捨","0","1","積日支払","01","東京営業所","10003     0100000","","0","個別","2","請求一括","0","1円未満","2","四捨五入","0","指定なし","0","指定なし","01","自社","001","支払通知書A4 1行明細形式","","","","","","0","20180718","230156","SYSTEM","20180718","230156","SYSTEM"
"10016     0200000","10016","(有)北神物流","02","小名浜営業所","00000","(有)北神物流","","(有)北神物流","ﾎｸｼﾝﾌﾞﾂﾘｭｳ","","宮城県仙台市宮城野区扇町3丁目4-9","","","022-782-4820","","","","1","社外","2","傭車","3","専属","0","1円未満","0","切捨","0","1","積日支払","02","小名浜営業所","10016     0200000","","0","個別","2","請求一括","0","1円未満","2","四捨五入","0","指定なし","0","指定なし","01","自社","001","支払通知書A4 1行明細形式","","","","","","0","20180718","230156","SYSTEM","20180718","230156","SYSTEM"
"10011     0100000","10011","北部運送㈱","01","東京営業所","00000","北部運送㈱","","北部運送㈱","ﾎｸﾌﾞｳ","971-8183","いわき市泉町下川53-7","","","0246-56-6155","0246-56-6165","","","1","社外","2","傭車","3","専属","0","1円未満","0","切捨","0","1","積日支払","01","東京営業所","10011     0100000","","0","個別","2","請求一括","0","1円未満","2","四捨五入","0","指定なし","0","指定なし","01","自社","001","支払通知書A4 1行明細形式","","","","","","0","20180718","230156","SYSTEM","20180718","230156","SYSTEM"
