部門コード,部門略称,車番,適用日FROM,適用日TO,所属会社コード,所属会社略称,所属部門コード,所属部門略称,自車傭車区分,自車傭車区分名称,所属会社区分,変更内容,車種コード,車種略称,乗務員コード,乗務員名称,作業会社名称,積載区分,積載区分名称,配車区分,配車区分略称,配車配置区分,配車配置区分名称,配車配置順,登録番号１,登録番号２,登録番号３,登録番号４,車両登録年月日,初年度登録,自動車種別,用途,自・事の別,車体の形状,車名,通称車名,乗務定員１,乗務定員２,積載重量１,積載重量２,車両重量,車両総重量１,車両総重量２,車台番号,長さ,幅,高さ,前前軸重,前後軸重,後前軸重,後後軸重,型式,原動機の型式,総排気量,燃料の種類,燃料の種類略称,型式指定番号,類別区分番号,ポイント,備考,使用停止フラグ,登録日,登録時刻,登録社員コード,更新日,更新時刻,更新社員コード
"06","仙台営業所","75","20180801","99999999","00000     0600000","自社","06","仙台営業所","1","自車","1","","061","ｂ　東曹産","","","","1","５t以上","999","なし","1","配車配置ボタンの対象とする","1","宮城","830","う","75","20111007","200708","2","2","1","01","01","","2","0","11500","0","10140","21750","0","CD4YL-20151","914","249","297","4570","0","3400","2170","ADG-CD4YL","GE13","1307","2","軽油","","","0","","1","20180808","152526","000002","20201119","145454","000004"
"07","川崎営業所","2919","20141209","99999999","00000     0700000","自社","07","川崎営業所","1","自車","1","","099","その他","","","","","","999","なし","1","配車配置ボタンの対象とする","0","川崎","830","い","2919","20141209","201612","2","2","1","01","02","","2","0","11560","0","10040","21710","0","GN1APE-10193","927","249","296","3490","3410","0","3140","QPG-GN1APEG","A09C","886","2","軽油","","","0","","0","20180809","134412","000004","20180810","120110","000005"
"07","川崎営業所","738","20180517","99999999","00000     0700000","自社","07","川崎営業所","1","自車","1","","099","その他","","","","","","999","なし","1","配車配置ボタンの対象とする","0","川崎","830","い","738","20180517","200606","2","2","1","01","07","","2","0","11800","0","9760","21670","0","CV2YL-00121","928","249","300","3320","3090","0","3350","ADG-CV2YL","MD92","0","2","軽油","","","0","","0","20180809","135725","000004","20180810","120142","000005"
"07","川崎営業所","6070","20170613","99999999","00000     0700000","自社","07","川崎営業所","1","自車","1","","099","その他","","","","","","999","なし","1","配車配置ボタンの対象とする","0","川崎","100","か","6070","20170613","201706","2","1","1","03","02","","2","2","32720","10200","7070","39900","17380","SH1EDD-14980","552","249","299","4840","0","0","2230","QPG-SH1EDDG","E13C","0","2","軽油","","","0","","0","20180809","141722","000004","20180821","112417","000005"
"07","川崎営業所","5846","20120710","99999999","00000     0700000","自社","07","川崎営業所","1","自車","1","","099","その他","","","","","","999","なし","1","配車配置ボタンの対象とする","0","川崎","100","か","5846","20120710","201209","2","1","1","03","07","","2","2","32430","10000","6940","39480","17050","GK4XAB-10194","555","249","296","4700","0","0","2240","AKG-GK4XAB","GE13","0","2","軽油","","","0","","0","20180809","142427","000004","20180810","120225","000005"
"07","川崎営業所","3148","20160808","99999999","00000     0700000","自社","07","川崎営業所","1","自車","1","","099","その他","","","","","","999","なし","1","配車配置ボタンの対象とする","0","川崎","830","い","3148","20160808","201608","2","2","1","01","15","","2","0","12040","0","9800","21950","0","CV2YL-30431","912","249","302","3540","3070","0","3190","ADG-CV2YL","MD92","0","2","軽油","","","0","","0","20180809","142809","000004","20180810","120154","000005"
"07","川崎営業所","1825","20170421","99999999","00000     0700000","自社","07","川崎営業所","1","自車","1","","015","トレーラー","","","","","","999","なし","1","配車配置ボタンの対象とする","0","川崎","100","え","1825","20170421","201704","2","1","1","08","09","","0","0","24000","0","6870","30870","0","CTB32002-6005","912","249","185","0","0","0","3740","CTB32002kai","","0","","","","","0","","0","20180810","095521","000004","20180904","105702","000005"
"07","川崎営業所","1862","20180417","99999999","00000     0700000","自社","07","川崎営業所","1","自車","1","","015","トレーラー","","","","","","999","なし","1","配車配置ボタンの対象とする","0","川崎","100","え","1862","20180417","200805","2","1","1","08","13","","0","0","23800","0","3920","27720","0","KFKDH220-74171","1118","246","171","0","0","1660","1650","KFKDH220","","0","","","","","0","","0","20180810","095844","000004","20180904","105822","000005"
"08","九州営業所","2602","20210113","99999999","00000     0800000","自社","08","九州営業所","1","自車","1","","099","その他","","","","","","999","なし","0","配車配置ボタンの対象としない","0","北九州","800","か","2602","20210113","202101","2","2","1","01","02","","2","0","11110","0","10410","21630","0","FN1AJ-101763","933","249","298","3330","3770","0","3310","2PG-FN1AJG","A09C","0","2","軽油","","","0","","0","20210113","145014","000007","20210113","145151","000007"
"02","小名浜営業所","A1116","20210402","99999999","00000     0200000","自社","02","小名浜営業所","1","自車","1","","031","Ｏ　塩酸","","","","1","５t以上","999","なし","0","配車配置ボタンの対象としない","1","いわき","830","う","1116","20210402","202104","2","2","1","01","15","","2","0","13240","0","11590","24940","0","JNCMB02C9MU058961","1145","249","302","5050","0","3410","3130","2PG-CD5CA","GH11","10","2","軽油","","","0","","0","20210405","143138","000002","20210405","143138","000002"
"02","小名浜営業所","00154","20000101","99999999","00000     0200000","自社","02","小名浜営業所","1","自車","1","","030","Ｎ　苛性","","","","1","５t以上","999","なし","1","配車配置ボタンの対象とする","1","いわき","830","あ","154","20121129","201211","2","2","1","01","02","","2","0","11500","0","10200","21810","0","FR1APB-10415","974","249","291","4510","0","3370","2320","QKG-FR1APBG","A09C","9","2","軽油","","","0","","0","20180718","230156","SYSTEM","20180718","230156","SYSTEM"
"02","小名浜営業所","00550","20150201","99999999","00000     0200000","自社","02","小名浜営業所","1","自車","1","","040","Ｓ　硫酸ﾊﾞ","","","","1","５t以上","999","なし","1","配車配置ボタンの対象とする","1","いわき","830","あ","550","20080122","200309","2","2","1","01","07","","2","0","13310","0","11410","24830","0","CD48J30173","1141","249","300","4700","0","3500","3210","KL-CD48J","GE13","13","2","軽油","","","0","","0","20180718","230156","SYSTEM","20180718","230156","SYSTEM"
"01","東京営業所","01359","20000101","99999999","00000     0100000","自社","01","東京営業所","1","自車","1","","061","ｂ　東曹産","000307","","","1","５t以上","999","なし","1","配車配置ボタンの対象とする","1","足立","830","あ","1359","20070829","200708","2","2","1","01","07","","2","0","11500","0","10140","21750","0","CD4YL-20151","914","249","297","4570","0","3400","2170","ADG-CD4YL","GE13","13","2","軽油","","","0","","0","20180718","230156","SYSTEM","20180718","230156","SYSTEM"
"06","仙台営業所","0139","20160316","99999999","00000     0600000","自社","06","仙台営業所","1","自車","1","","001","Ａプロセス","","","","1","５t以上","999","なし","1","配車配置ボタンの対象とする","1","宮城","830","い","139","20110428","199712","2","2","1","02","14","","0","0","14880","0","4880","19760","0","静［52］7336静","868","249","303","0","0","0","2960","KL16-10AA","","0","","","","","0","","1","20180718","230156","SYSTEM","20200623","101559","000004"
"02","小名浜営業所","01693","20100809","99999999","00000     0200000","自社","02","小名浜営業所","1","自車","1","","030","Ｎ　苛性","","","","1","５t以上","999","なし","1","配車配置ボタンの対象とする","1","いわき","830","あ","1693","20160304","201008","2","2","1","01","15","","2","0","12000","0","9820","21930","0","CD4YA-30258","910","249","297","4690","0","3030","2100","ADG-CD4YA","GE13","13","2","軽油","","","0","","0","20180718","230156","SYSTEM","20220623","130521","000002"
"01","東京営業所","0670","20000101","99999999","00000     0100000","自社","01","東京営業所","1","自車","1","","060","ａ　吉田化","001054","土屋勝三","","1","５t以上","999","なし","1","配車配置ボタンの対象とする","1","足立","800","か","0670","20020510","200109","2","2","1","01","07","","2","0","12350","0","9380","21840","0","CD48YN00067","910","249","315","4380","0","2950","2050","KL-CD48YNH","GE13","13","2","軽油","","","0","H27.9から米山さんが乗車","1","20180718","230156","SYSTEM","20190821","144930","000004"
"06","仙台営業所","086","20000101","99999999","00000     0600000","自社","06","仙台営業所","1","自車","1","","006","Ｆ　A重油","","","","1","５t以上","999","なし","1","配車配置ボタンの対象とする","1","宮城","830","い","86","20121126","201211","2","2","1","01","02","","2","0","13000","0","8690","21800","0","GN1APB-10541","936","249","291","3150","3160","0","2380","QKG-GN1APBG","AO9C","9","2","軽油","","","0","","1","20180718","230156","SYSTEM","20231201","142739","000001"
"06","仙台営業所","0895","20000101","99999999","00000     0600000","自社","06","仙台営業所","1","自車","1","","001","Ａプロセス","","","","1","５t以上","999","なし","1","配車配置ボタンの対象とする","1","宮城","830","あ","895","20121023","201210","2","2","1","01","02","","2","0","10340","0","10640","21090","0","GN1APB-10548","930","250","314","3610","3530","0","3500","QKG-GN1APBG","A09C","9","2","軽油","","","0","","0","20180718","230156","SYSTEM","20180718","230156","SYSTEM"
"02","小名浜営業所","0910","20000101","99999999","00000     0200000","自社","02","小名浜営業所","1","自車","1","","031","Ｏ　塩酸","","","","1","５t以上","999","なし","1","配車配置ボタンの対象とする","1","いわき","830","あ","910","20060919","200009","2","2","1","01","07","","2","0","10290","0","10830","21230","0","国［01］040634","940","249","315","4440","0","3770","2620","KL-CD48YNH","GE13","13","2","軽油","","","0","","1","20180718","230156","SYSTEM","20190425","154312","000002"
"01","東京営業所","100","20120901","99999999","00000     0100000","自社","01","東京営業所","1","自車","1","","060","ａ　吉田化","001030","米山　勝","","1","５t以上","999","なし","1","配車配置ボタンの対象とする","1","足立","830","え","100","20000829","200008","2","2","1","01","02","","2","0","11700","0","10090","21900","0","FR1APB-10393","937","249","289","4430","0","3350","2310","QKG-FR1APBG","A09C","9","2","軽油","","","0","","0","20180718","230156","SYSTEM","20220415","101848","000003"
"02","小名浜営業所","11111","20000101","99999999","00000     0200000","自社","02","小名浜営業所","1","自車","1","","099","その他","099996","その他","","1","５t以上","999","なし","1","配車配置ボタンの対象とする","1","","","","","","","","","","","","","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","","","0","","","","","0","","0","20180718","230156","SYSTEM","20180831","193245","000099"
