車種コード,車種名称,車種略称,車種検索名称,使用停止フラグ,登録日,登録時刻,登録社員コード,更新日,更新時刻,更新社員コード
"001","Ａプロセス","Ａプロセス","ｴ","0","20180718","230155","SYSTEM","20180718","230155","SYSTEM"
"002","Ｂ　JX日鉱日石(C）","Ｂ　JX日鉱","ﾋﾞ","0","20180718","230155","SYSTEM","20180718","230155","SYSTEM"
"003","Ｃ　JX日鉱日石(A)","Ｃ　JX日鉱","ｼ","0","20180718","230155","SYSTEM","20180718","230155","SYSTEM"
"004","Ｄ　JX日鉱日石(白）","Ｄ　JX日鉱","ﾃﾞｨ","0","20180718","230155","SYSTEM","20180718","230155","SYSTEM"
"005","Ｅ　白油","Ｅ　白油","ｲ","0","20180718","230155","SYSTEM","20180719","171234","000099"
"006","Ｆ　A重油","Ｆ　A重油","ｴﾌ","0","20180718","230155","SYSTEM","20180719","171307","000099"
"007","Ｇ","Ｇ","ｼﾞｨ","0","20180718","230155","SYSTEM","20180718","230155","SYSTEM"
"008","Ｈ","Ｈ","ｴｯﾁ","0","20180718","230155","SYSTEM","20180718","230155","SYSTEM"
"009","Ｉ","Ｉ","ｱｲ","0","20180718","230155","SYSTEM","20180718","230155","SYSTEM"
"010","Ｊ　堺（C）","Ｊ　堺（C","ｼﾞｪｲ","0","20180718","230155","SYSTEM","20180718","230155","SYSTEM"
"011","Ｋ　C（14K)","Ｋ　C（14K","ｹｲ","0","20180718","230155","SYSTEM","20180718","230155","SYSTEM"
"012","Ｌ　呉羽（C）","Ｌ　呉羽（","ｴﾙ","0","20180718","230155","SYSTEM","20180718","230155","SYSTEM"
"013","Ｍ","Ｍ","ｴﾑ","0","20180718","230155","SYSTEM","20180718","230155","SYSTEM"
"014","平ボディ","平ボディ","ﾋﾗﾎﾞﾃ","0","20180718","230155","SYSTEM","20180718","230155","SYSTEM"
"030","Ｎ　苛性","Ｎ　苛性","ｴﾇ","0","20180718","230155","SYSTEM","20180718","230155","SYSTEM"
"031","Ｏ　塩酸","Ｏ　塩酸","ｵ","0","20180718","230155","SYSTEM","20180718","230155","SYSTEM"
"032","Ｐ　次亜","Ｐ　次亜","ﾋﾟｨ","0","20180718","230155","SYSTEM","20180718","230155","SYSTEM"
"033","Ｑ　ﾓﾉｸﾛ","Ｑ　ﾓﾉｸﾛ","ｷｭｳ","0","20180718","230155","SYSTEM","20180718","230155","SYSTEM"
"034","Ｒ　廃硫酸ﾊﾞﾝﾄﾞ","Ｒ　廃硫酸","ｱｰﾙ","0","20180718","230155","SYSTEM","20180718","230155","SYSTEM"
"035","Ｕ　小名浜蒸留","Ｕ　小名浜","ﾕｳ","0","20180718","230155","SYSTEM","20180718","230155","SYSTEM"
"036","Ｔ　濃硫酸","Ｔ　濃硫酸","ﾃｨ-","0","20180718","230155","SYSTEM","20180718","230155","SYSTEM"
"040","Ｓ　硫酸ﾊﾞﾝﾄﾞ","Ｓ　硫酸ﾊﾞ","ｴｽ","0","20180718","230155","SYSTEM","20180718","230155","SYSTEM"
"060","ａ　吉田化学","ａ　吉田化","ｴｲ","0","20180718","230155","SYSTEM","20180718","230155","SYSTEM"
"061","ｂ　東曹産業","ｂ　東曹産","ﾋﾞｨ","0","20180718","230155","SYSTEM","20180718","230155","SYSTEM"
"062","ｃ　淀川海運","ｃ　淀川海","ｼｨ","0","20180718","230155","SYSTEM","20180718","230155","SYSTEM"
"064","ｅ　ｲ-･ｸﾗｯﾁ(ﾄﾗｸﾀ)","ｅ　ｲ-･ｸﾗｯ","ｲ-","0","20180718","230155","SYSTEM","20180718","230155","SYSTEM"
"065","f  ｲ-･ｸﾗｯﾁ(台車)","f  ｲ-･ｸﾗｯﾁ","ｴﾌ","0","20180718","230155","SYSTEM","20180718","230155","SYSTEM"
"066","g 丸運・千葉","g 丸運・千","ｼﾞｰ","0","20180718","230155","SYSTEM","20180718","230155","SYSTEM"
"067","h  ｻﾝｺｰｼｽﾃﾑ","h  ｻﾝｺｰｼｽﾃ","ｴｲﾁ","0","20180718","230155","SYSTEM","20180718","230155","SYSTEM"
"070","i　その他","i　その他","ｱｲ","0","20180718","230155","SYSTEM","20180718","230155","SYSTEM"
"071","z　ﾄﾗｸﾀ","z　ﾄﾗｸﾀ","ｾﾞｯﾄ","0","20180718","230155","SYSTEM","20180718","230155","SYSTEM"
"072","Ｍ　メタノール","Ｍ　メタノ","ｴﾑ","0","20180718","230155","SYSTEM","20180718","230155","SYSTEM"
"099","その他","その他","ｿﾉﾀ","0","20180718","230155","SYSTEM","20180718","230155","SYSTEM"
"092","品川倉庫運輸㈱","品川倉庫運","ｼﾅｶﾞﾜ","0","20180803","111139","000003","20180803","111139","000003"
"098","ﾄﾗｸﾀ-(東京)","ﾄﾗｸﾀ-(東京","ﾄﾗｸﾀ-","0","20180803","111212","000003","20180803","111212","000003"
"015","トレーラー","トレーラー","ﾄ","0","20180904","105022","000099","20180904","105022","000099"
"ZZZ","車種指定無(タリフ計算用)","車種指定無","ZZZ","0","20180301","120000","ELYUSO","20180301","120000","ELYUSO"
